words,commit_message
22,1d84908f5 Terraform managed file
22,67d88287c Terraform managed file
22,0df46fe62 Terraform managed file
22,94c513dd9 Terraform managed file
22,bf279e987 Terraform managed file
22,db24129f1 Terraform managed file
22,7d53648f0 Terraform managed file
22,9dd8bf847 Terraform managed file
59,b77fb6ab4 Merge pull request #13031 from chrisroberts/redux-eol-macos
22,43ac5475f Terraform managed file
22,f19ed9ef8 Terraform managed file
61,e14176451 Merge pull request #13104 from hashicorp/ashleemboyer-patch-1
29,c4f39da09 Delete test-link-rewrites.yml
62,2a2235938 website: adds content-check command and README update (#13100)
58,f6e3e5076 Merge pull request #13097 from soapy1/spectesting-env-vars
49,5ab71dfc0 Update spectesting to use secrets stored in vault
64,3a745bd13 docs: change frontmatter key from script to description (#13096)
61,9caedbf08 Merge pull request #13088 from hashicorp/kc.descriptions-docs
45,1a76d4046 Merge branch 'main' into kc.descriptions-docs
61,24361018f Update website/content/vagrant-cloud/users/authentication.mdx
48,50d71eed3 Update website/content/vagrant-cloud/support.mdx
19,3ce2b7ecc Update CHANGELOG.md
56,72dab7670 Merge pull request #13057 from soapy1/box-race-condition
63,4551b8b2a Use file locks to avoid file existance checking race conditions
19,6277591c2 Update CHANGELOG.md
55,bc1e00fc5 Merge pull request #13052 from soapy1/password-auth-ssh
34,4bcd6e0db Apply suggestions from code review
52,72b0e947a Update website/content/vagrant-cloud/boxes/using.mdx
57,3a2c79ac7 Merge pull request #13093 from hashicorp/kc.docs-metadata
22,1074f19fa fixes links in headers
38,9c64bd103 adds description metadata, final batch
19,456aac738 Update CHANGELOG.md
68,9efc3521d Merge pull request #13090 from soapy1/remove-virtualbox-hyperv-check
19,9f666f8f6 Update CHANGELOG.md
64,812733401 Merge pull request #11933 from lyderX05/issue/powershell_feature
19,457ecc50a Update CHANGELOG.md
84,ec396ec84 Merge pull request #13054 from moritzheiber/fix_ansible_pip_install_version_mismatch
19,e1d0940a6 Update CHANGELOG.md
52,58d629d9a Merge pull request #13055 from Penaz91/artix-support
19,c32109b39 Update CHANGELOG.md
93,a5983aabe Merge pull request #12280 from RudiMT/bugfix20210302/hyperv-enhanced-sessionmode-crash-2012R2
31,7efb70214 adds descriptions, second batch
47,57562c2d7 Merge pull request #12660 from joel0/hyperv-mem
64,38e6e86d8 Removes check for hyperv being enabled when verifying virtualbox
55,8cc21d048 Merge pull request #13085 from soapy1/misc-docs-updates
30,26597c0d8 adds descriptions, first batch
127,a7d87498e Requested Changes Updated on Fixes Fixes the issue of Vagrant is unable to execute Get-WindowsOptionalFeature Command changes 2
92,88c5e17c5 Fixes the issue of Vagrant is unable to execute Get-WindowsOptionalFeature Command changes 2
83,b0a410984 Fixes the issue of Vagrant is unable to execute Get-WindowsOptionalFeature Command.
27,d0ff2886d Add linux command for uuids
43,fa24dc823 Add example config to disable default share
44,1c7213291 Document Box requirement for "vagrant" group
45,4414e9e97 Merge pull request #13074 from Renlor/patch-1
34,37540664c Add another example for finding ip
30,fbd90b196 Clarify file provisioning docs
33,30fd6a32a Update curl download options docs
58,2e7116cfc Log ignoring of EnhancedSessionTransportType for debugging
22,431d91593 Output message in json
87,ba562f273 Add check if EnhancedSessionTransportType is supported by the current version of HyperV
21,e14aa1e43 Formatting as in main
87,0867fbd9d Add check if EnhancedSessionTransportType is supported by the current version of HyperV
63,5f2ea0486 Update connection settings when using a password to connect ssh
40,9f9d2fdfc Merge pull request #12652 from t2sa/typo
22,740b1bcab Terraform managed file
19,7061bda35 Update CHANGELOG.md
49,3022ef59f Merge pull request #13066 from soapy1/rsync-regex
19,b32005888 Update CHANGELOG.md
52,1a5dea169 Merge pull request #13069 from soapy1/ssh-keep-alive
19,1442d5eea Update CHANGELOG.md
59,2fdc38d05 Merge pull request #13056 from soapy1/network-with-snapshot
54,03fc876b2 Merge pull request #13053 from soapy1/vagrant-box-docs
40,20432a72a Fix broken links to puppet documentation
64,2f5b5f0b1 Merge pull request #12940 from hashicorp/kc.docs-install-updates
66,b217b01dd remove ruby version so that the doc doesnt become outdated quickly
33,157a182ec Update plugins/hosts/arch/host.rb
43,b4925261f Use netssh builtin keep alive functionality
73,1f2ad2fc6 Merge pull request #13068 from hashicorp/amb.upgrade-link-format-workflow
35,b388ddd25 Undoing changes to workflow trigger
52,c5bc3d4b5 Updating docs-content-check-legacy-links-format hash
12,6a3a76f9b Empty-Commit
28,40c70a54f Upgrading to latest workflow
27,69506cf6a Applying formatting changes
45,0ee7eb338 Ensure Arch Plugin doesn't detect Artix Linux
12,c0adae820 Update links
35,cbe5ecde4 Add information about Vagrant boxes
25,eb07f3917 Migrating 1 link's format
48,7acb94cac Merge branch 'main' into kc.docs-install-updates
70,24a830aff Merge pull request #13048 from hashicorp/docs/amb.migrate-link-formats
32,0939af9a7 Process rsync exclude regex less
29,cb582eef1 Migrating links to new format
40,2a0c198d8 Manually updating vmware downloads links
34,9dcdd946b Adding test-link-rewrites workflow
54,cd71a9d03 Adding docs-content-check-legacy-links-format workflow
38,322b5bfef chore: updates generated docs (#13059)
31,f153996b2 Add tests for mutex util module
26,b91a5d557 Add file mutex util module
36,817fbdd2d Add information about lock file path
23,83efa09df Test box download mutex
44,bc03f2175 Add a file mutex when downloading box files.
35,28574348b Read only machine port forward info
56,dfabbbb7f Forgot one occurance of using the raw python vs. python3
96,5f82adf12 Replace python with python3, which is a common convention (and Ansible only works with Python 3)
55,76ef7d3dc Fix installing Ansible provisioner with version and pip
47,56d6cbaa8 Merge pull request #13046 from harsha-s/patch-1
44,6aca9a803 Merge pull request #13043 from soapy1/ruby3x
28,5036fa9d9 add VirtualBox version 7.0.x
66,9f9e02b61 Merge pull request #12962 from bronzdoc/vagrant-box-add-completion
77,30e552176 Restrict rubyzip more strictly to avoid unintentional updates when v3.0 lands
73,9743c8574 Only check for arguments matching test string if the argument is a string
65,7661eba89 Environment home dir is also not accessible if EROFS error occurs
17,138fbf9a5 Bump dependencies
24,d69287f85 Bump Ruby version to 3.x
47,672a408db Isolate protobuf message loading to server mode
22,c5887f808 Terraform managed file
22,e1407219e Terraform managed file
22,78eb1dcad Terraform managed file
22,9ddf46732 Terraform managed file
22,ca1f97172 Terraform managed file
28,8fb752266 Update files for development
13,986a01734 Release 2.3.4
22,2e5aefb91 Terraform managed file
16,80e440ebb Update CHANGELOG
57,d6109b2ed Merge pull request #13024 from chrisroberts/vbox-net-type
34,516ac4b0a Set address type when not provided
16,999983275 Update CHANGELOG
68,fd72ea592 Merge pull request #13017 from msltwtf/ansible-local-package-install
22,ddbe3bf57 Terraform managed file
43,ca7c05f09 Fix ansible install for older distributions
22,42408839a Terraform managed file
16,dbb382108 Update CHANGELOG
63,10efa9818 Merge pull request #13022 from chrisroberts/macos-isolated-load
44,e2165917e Always load protos regardless of server mode
16,a92f7b4aa Update CHANGELOG
61,2eb393aae Merge pull request #13004 from chrisroberts/vbox-hostnet-dhcp
16,7498a6daf Update CHANGELOG
52,3199cc544 Merge pull request #13006 from chrisroberts/pwsh-7.3
25,5cbf66b93 Update log output to warn
22,21f103298 Terraform managed file
46,1cd6ac3b3 Isolate loading dependencies for serve command
52,1b68be9d5 fix(docs): Fix broken links in ansible docs (#12674)
38,6fb60c9ae Add workaround for Debian 10 and older
74,d58843884 Merge pull request #13007 from hashicorp/vancluever-fix-vagrant-cloud-docs
39,b72813853 Address edit request from @chrisroberts
41,5be804518 Some fixes for the Vagrant Cloud API docs
43,2696c3d74 Import the security module for access check
45,32aef6c48 Rescue address errors and adjust host address
22,a1417385f Terraform managed file
21,047a0dc29 Update default labels
34,0e6685adb Apply suggestions from code review
34,c88c142b1 Apply suggestions from code review
22,8a1e28568 Terraform managed file
28,b1491c0df Update files for development
13,36a8b25b5 Release 2.3.3
22,2710f810f Terraform managed file
16,ff1d721ab Update CHANGELOG
55,8549450cf Merge pull request #12994 from chrisroberts/vbox-locale
32,139083712 Update expected options in tests
61,d8de3016e Merge pull request #12992 from chrisroberts/vbox-networks-nfs
63,15833973c Merge pull request #12991 from chrisroberts/vbox-machine-folder
34,f7e5a9d19 Force LANG when executing commands
55,9e4047533 Customize #read_network_interfaces for hostonlynetworks
35,cbddfbd02 Handle missing machine folder value
16,aa3be5b6a Update CHANGELOG
53,99a7ceced Merge pull request #12973 from peckpeck/rsync_ssh_fix
56,2fe4056a7 Fix test using `File.exists?` to use non-deprecated name
22,321445b9f Terraform managed file
30,3c75864ce Fix ansible shared test helper
66,767342790 Merge pull request #12990 from hashicorp/compliance/update-license
14,445916c5b Update LICENSE
47,17698d858 Add test to validate ssh info extra args append
54,45f504350 Check for extra arguments in ssh info before appending
49,139893603 Fix sync_folder type rsync ignores ssh extra_args
22,97cbb2a05 Terraform managed file
44,bb3985f02 Merge pull request #12754 from gh0st/patch-1
16,4aa001434 Update CHANGELOG
46,0209cd21f Merge pull request #12832 from teh-syntax/main
16,29cc4be20 Update CHANGELOG
59,1dd008d65 Merge pull request #12740 from rbrunckhorst/solaris-sed-fix
47,c75e05d4b Merge pull request #12913 from nist/File.exists
16,f7612b47e Update CHANGELOG
41,915283c68 Merge pull request #12989 from dcode/main
16,5b0237681 Update CHANGELOG
51,b481ae547 Merge pull request #12979 from dcermak/bump-net-ssh
22,a0a1c65b6 Terraform managed file
22,e50c10134 Terraform managed file
32,33898b17e Terraform managed file [skip ci]
30,c3e3b328a Allow access to issues and PRs
49,5139379d4 Merge pull request #12981 from dcermak/bump-rspec
22,40a90fd9b Remove net-ssh patches
22,0ad126309 Bump net-ssh to ~> 7.0
16,6121e2141 Update CHANGELOG
59,da0ab49fb Merge pull request #12983 from chrisroberts/vbox-networking
32,0c2c1c3db Terraform managed file [skip ci]
39,3c5a048af Delete .github/workflows/slack-vars.yml
42,f7d497d4f Delete .github/workflows/hashibot-vars.yml
40,0cea07a55 Delete .github/workflows/packet-vars.yml
49,f581778c2 Fixes Google namespace resolution to global space
32,92b767f01 Terraform managed file [skip ci]
32,2a894e97f Terraform managed file [skip ci]
32,61487c506 Terraform managed file [skip ci]
32,749facb16 Terraform managed file [skip ci]
