date,commit_sum_count
2010-01-21,12
2010-01-22,19
2010-01-23,21
2010-01-24,22
2010-01-26,24
2010-01-29,35
2010-01-30,47
2010-01-31,58
2010-02-01,59
2010-02-02,62
2010-02-03,66
2010-02-05,68
2010-02-06,69
2010-02-07,71
2010-02-08,75
2010-02-09,90
2010-02-10,98
2010-02-11,100
2010-02-12,107
2010-02-13,115
2010-02-14,123
2010-02-15,148
2010-02-16,155
2010-02-17,156
2010-02-19,158
2010-02-20,160
2010-02-21,161
2010-02-22,174
2010-02-23,178
2010-02-24,181
2010-02-25,183
2010-02-27,184
2010-02-28,195
2010-03-01,197
2010-03-02,200
2010-03-03,205
2010-03-04,217
2010-03-05,221
2010-03-06,222
2010-03-07,235
2010-03-08,247
2010-03-09,267
2010-03-10,286
2010-03-11,298
2010-03-12,305
2010-03-13,311
2010-03-14,322
2010-03-15,335
2010-03-16,339
2010-03-17,355
2010-03-18,364
2010-03-19,388
2010-03-20,396
2010-03-21,397
2010-03-22,400
2010-03-23,402
2010-03-25,408
2010-03-26,409
2010-04-02,412
2010-04-08,428
2010-04-09,435
2010-04-10,438
2010-04-11,440
2010-04-12,455
2010-04-13,490
2010-04-14,491
2010-04-15,499
2010-04-19,505
2010-04-21,508
2010-04-23,511
2010-04-24,517
2010-04-25,527
2010-04-26,528
2010-04-28,530
2010-04-29,532
2010-04-30,536
2010-05-01,537
2010-05-02,538
2010-05-06,540
2010-05-07,544
2010-05-08,548
2010-05-13,549
2010-05-14,551
2010-05-15,553
2010-05-16,561
2010-05-17,569
2010-05-18,575
2010-05-19,576
2010-05-20,593
2010-05-21,595
2010-05-22,602
2010-05-24,603
2010-05-25,606
2010-05-26,608
2010-05-27,615
2010-05-28,619
2010-05-29,625
2010-05-30,628
2010-06-02,629
2010-06-03,646
2010-06-05,648
2010-06-06,649
2010-06-10,650
2010-06-14,651
2010-06-15,654
2010-06-17,660
2010-06-19,663
2010-06-20,671
2010-06-22,674
2010-06-23,675
2010-06-24,676
2010-06-29,678
2010-07-01,679
2010-07-02,682
2010-07-03,684
2010-07-04,691
2010-07-05,708
2010-07-06,716
2010-07-07,727
2010-07-08,741
2010-07-09,743
2010-07-10,744
2010-07-11,749
2010-07-12,754
2010-07-13,768
2010-07-14,773
2010-07-15,775
2010-07-16,776
2010-07-17,779
2010-07-18,786
2010-07-19,788
2010-07-20,789
2010-07-21,794
2010-07-22,797
2010-07-23,806
2010-07-24,812
2010-07-26,814
2010-07-27,822
2010-07-28,829
2010-07-29,831
2010-07-30,834
2010-07-31,843
2010-08-01,847
2010-08-02,851
2010-08-03,855
2010-08-13,857
2010-08-18,860
2010-08-19,862
2010-08-21,863
2010-08-22,879
2010-08-23,888
2010-08-24,910
2010-08-25,927
2010-08-26,935
2010-08-27,948
2010-08-28,952
2010-08-30,955
2010-09-01,978
2010-09-02,987
2010-09-03,1000
2010-09-04,1003
2010-09-05,1012
2010-09-06,1016
2010-09-07,1033
2010-09-08,1037
2010-09-09,1043
2010-09-11,1049
2010-09-12,1060
2010-09-13,1061
2010-09-14,1064
2010-09-15,1067
2010-09-16,1069
2010-09-20,1077
2010-09-21,1086
2010-09-22,1087
2010-09-23,1093
2010-09-27,1107
2010-09-29,1111
2010-09-30,1117
2010-10-01,1122
2010-10-03,1126
2010-10-04,1130
2010-10-05,1131
2010-10-06,1133
2010-10-08,1141
2010-10-09,1143
2010-10-12,1144
2010-10-13,1149
2010-10-14,1152
2010-10-21,1155
2010-10-26,1156
2010-11-03,1158
2010-11-08,1163
2010-11-14,1164
2010-11-15,1170
2010-11-17,1171
2010-11-21,1172
2010-11-30,1177
2010-12-07,1183
2010-12-14,1193
2010-12-16,1194
2010-12-18,1201
2010-12-19,1202
2010-12-21,1208
2010-12-23,1210
2010-12-24,1219
2010-12-30,1223
2010-12-31,1229
2011-01-04,1237
2011-01-05,1244
2011-01-06,1251
2011-01-07,1258
2011-01-08,1262
2011-01-09,1277
2011-01-10,1280
2011-01-11,1290
2011-01-12,1303
2011-01-13,1308
2011-01-14,1312
2011-01-15,1313
2011-01-16,1314
2011-01-17,1315
2011-01-19,1320
2011-01-20,1321
2011-01-21,1326
2011-01-22,1327
2011-01-23,1330
2011-01-24,1333
2011-01-25,1334
2011-01-26,1335
2011-01-28,1343
2011-01-29,1348
2011-02-02,1350
2011-02-05,1352
2011-02-08,1368
2011-02-16,1369
2011-02-25,1372
2011-02-28,1373
2011-03-01,1374
2011-03-09,1375
2011-04-19,1382
2011-05-11,1388
2011-05-12,1396
2011-05-13,1398
2011-05-16,1406
2011-06-09,1409
2011-06-13,1414
2011-06-16,1416
2011-07-02,1425
2011-07-03,1431
