words,commit_message
49,c81aef3655 Merge pull request #33064 from willfaught/patch-1
53,357012a2f3 Refactor of differ to make code reuse easier (#33054)
19,324c82b077 Update CHANGELOG.md
57,aae6990d38 Add native `plantimestamp` function to Terraform (#32980)
19,5275392303 Update CHANGELOG.md
64,af571b2642 Improve environment variable support for the pg backend (#33045)
22,bddd348d74 Remove incorrect space
62,7e2e834aff Emit warnings for certain run events in cloud backend (#33020)
78,c10a07f3b2 Automated equivalence test golden file update for release 1.5.0-alpha20230405.
80,1a36d07ead Add new actions for executing the equivalence tests after a CRT release (#32959)
70,e6c3aab6c5 Merge pull request #33018 from hashicorp/tf-5529-sro-tfe-version-check
49,0e0db2d206 Merge pull request #33013 from Harmelodic/patch-1
71,2c624acea1 Fix rendering unknown values in map and null string primitives (#33029)
32,300a60f393 Fix typo in format version check
53,5634ae3e18 Unit tests to ensure renderer is appropriately called
51,b23cfaefe8 Refactor SRO check to prevent duplicate plan output
55,7c439b25da add copywrite file that excludes .tf extension (#33012)
29,2a2e1904ea Document new -or-create flag.
84,9c87006c34 checks: hide check diagnostics during plans that will not wait for approval (#32938)
62,c993569591 Merge pull request #33000 from hibbertda/azrm_backend_metadata
58,ee2f418f36 Update website/docs/language/settings/backends/azurerm.mdx
46,c1b6c45791 added metadata_host param for AzureRM backend.
72,eed06e2342 Merge pull request #32990 from hashicorp/releng/smoke-test-docker-builds
71,acbcbcb311 Merge pull request #32988 from hashicorp/jbardin/destroy-plan-null-type
19,9b31ae9a9c Update CHANGELOG.md
71,1f603b1a7f backend/pg: Accept connection string in PGDATABASE environment variable
56,dfbb9c2e10 website: templatefile variables are an object, not a map
55,a3db16e4ea version: Clean up after the 1.5.0-alpha20230405 release
28,1d9581682b ci: Smoke test docker builds
39,6eab13ba46 Prepare for 1.5.0-alpha20230405 release
62,0540203085 checks: Add initial changelog entry for alpha release (#32984)
40,c872cd6d96 the destroy plan should use correct type
82,84dc498b90 checks: always reference the nested data source from the check graph node (#32946)
61,c960b16e87 comment out ironbank update in CI until it is set up (#32979)
74,b8985e5c4d Merge pull request #32970 from hashicorp/radditude/update-apt-instructions
31,2738dc206e update apt install instructions
63,64c4e1b4c1 Merge pull request #32951 from hashicorp/fix-incorrect-cgo-flag
37,e9628c5eba ci: Correctly pass cgo_enabled=0 flag
45,649d6d3f12 Upload ECR image to correct ECR repo (#32948)
78,b4d0de386e Add depends block for promote-staging + add promote-staging-packaging (#32941)
73,31f278b2d8 Merge pull request #32892 from hashicorp/jbardin/update-missing-sensitive
43,81b74cdb22 don't compare plan marks for missing values
75,a4e92f3fca Merge pull request #32876 from hashicorp/jbardin/state-serialize-plan-error
69,fdb00b9a46 Merge pull request #32900 from hashicorp/jbardin/target-drift-upgrade
46,880b87a0e7 Releng/migrate common release tooling (#32797)
88,c06db2aadd checks: don't iterate through all the nodes when there is nothing to search for (#32927)
51,5f97f88025 ensure checks are reported before executed (#32925)
76,9d93415d4c Merge pull request #32898 from hashicorp/bflad/less-null-more-terraform-docs
83,978263efe9 Checks: Introduce check blocks into the terraform node and transform graph (#32735)
51,3827120c25 Checks: Add configuration for check blocks (#32734)
75,87c457781d Checks: Refactor existing check addrs and add new check block addr (#32733)
58,d53cb81bed Merge pull request #32889 from fidelity/feature/doc-change
70,9504b2640f Merge pull request #32891 from hashicorp/jbardin/sensitive-mod-outputs
35,240e345b45 test for untargeted schema mismatch
49,b10c4c54d9 prevent errors with -target and provider upgrades
27,2213d91746 description feedback change
60,9150a1bb75 website: Minor fixes to Provisioners Without a Resource page
46,bd75dade9c Merge pull request #32884 from DocAdam/patch-2
57,2073d6ac46 Merge pull request #32882 from ChristopherHackett/patch-2
50,23db9f3062 Merge pull request #32883 from ChannyClaus/patch-1
49,defd7f0cde test that module outputs maintain sensitive marks
19,d33e627514 remove old comments
41,425c6bead2 store non-root sensitive outputs in state
15,3b4207a146 Spelling update
20,2ec0bf3cea Update BUGPROCESS.md
39,493973d6da Correct docs on Configuration Directory
46,4fff0bd857 Merge pull request #32877 from DocAdam/patch-1
19,f4c3611977 Update settings.mdx
42,1ca631bda0 remove planned objects from state on error
63,6b35927cf0 docs: fix up content issues, add content-check command (#32869)
68,dc00ee8c8a Merge pull request #32870 from hashicorp/alisdair/revert-cty-upgrade
46,9f827f57ae go.mod: Revert cty minor version v1.13 upgrade
46,4e6e0bc47b core: Fix test flake in TestContext2Apply_stop
35,8ab72c249d add docs meta descriptions (#32771)
51,62d6e84b60 Merge pull request #32855 from amandabasara/patch-3
45,956627d661 Update index.mdx New PR for pinning providers
50,86c0c3bf80 Merge pull request #32846 from hashicorp/fix-32793
100,bf723bd65a fix(init_test.go): in TestInitProvidersLocalOnly tst, set TF_CLI_CONFIG_FILE env var to an empty val
68,fa9d044c58 bugfix(cliconfig.go): emit a warning msg if bad CLI config file path
68,ccb376a189 Merge pull request #32840 from hashicorp/jbardin/render-output-crash
29,fcc6b7ac7f Add TFC to state doc (#32836)
45,06f1ceb026 add some output values to the show state test
38,5ed7f2a798 always use the RenderHuman constructor
85,15ecdb66c8 Fix no-op outputs causing the plan renderer to skip the 'no changes' message (#32820)
57,843befff29 Merge pull request #32818 from hashicorp/jbardin/nil-plan
45,c02e7e8754 return early from opPlan when the plan is nil
41,af05cbb645 Add support for scoped resources (#32732)
61,bb71273f7a Merge pull request #32814 from hashicorp/ashleemboyer-patch-1
36,b431b4ab80 Update check-legacy-links-format.yml
89,bea8ad355c website: v1.4 upgrade guide more guidance on who is affected by the provider cache change
68,32f151f20b Update HCL to handle type mismatches when applying defaults (#32775)
49,36aac6b498 Fixes depends_on when overriding modules (#32796)
28,189820b6ea Terraform v1.4 Upgrade Guide
72,2a1d98bc06 website: Document TF_PLUGIN_CACHE_MAY_BREAK_DEPENDENCY_LOCK_FILE env var
29,e793729602 Delete test-link-rewrites.yml
19,61e89c84d5 Update CHANGELOG.md
65,b088c67c60 Merge pull request #32781 from hashicorp/alisdair/rip-earlyconfig
8,fe5ead7095 Fix typo
43,584811b829 initwd: Add fake range for fake root module
68,83befcb18c Merge pull request #32782 from hashicorp/alisdair/faster-cloud-tests
39,ca53ca00f4 Remove failing DNS query in cloud tests
39,19e635bfc8 Remove polling delays in run tasks test
45,d9eae48a75 Remove redundant CheckCoreVersionRequirements
31,5e83ccc1f9 Remove terraform-config-inspect
18,60ea68edc7 Remove earlyconfig
42,8df065a2fe initwd: Switch from earlyconfig to configs
66,3d51147862 Merge pull request #32766 from wisnij/wisnij/20230301-compact-docs
41,f395efdd83 Update documentation for compact function
38,76b34e891c remove unused actionforchange (#32759)
59,93f9cff99f Adding provider constraint best practice statement (#32697)
93,729408333e Merge pull request #32742 from rkhaled0/bugfix/issue-28274-providers-mirroring-honor-lockfile
88,100c44b6c3 bugfix: issue-28274, terraform providers mirror command should honor terraform lock file
70,984d8c14a3 Merge pull request #32624 from hashicorp/docs/amb.migrate-link-formats
39,6fff41b6de Delete maintainer-etiquette.md (#32741)
32,c850399c0d Updating main-branch-preview-url
29,32f7b8ebd0 Migrating links to new format
21,c5d0bd40b9 Removing test comment
26,55f11d07b9 Adding comment for testing
34,534366d0ff Adding test-link-rewrites workflow
54,e81c849617 Adding docs-content-check-legacy-links-format workflow
72,a86cef4d50 cliconfig: Allow breaking the dependency lock file using the environment
59,3d1a58d5b5 Merge pull request #32708 from mrinalirao/mr/taskStage-race
41,cff7584a38 Bump golang.org/x/net from 0.5.0 to 0.7.0
70,3c54e42080 Merge pull request #32695 from hashicorp/radditude/init-config-warning
84,ec4f62078a Merge pull request #32666 from hashicorp/sebasslash/fix-credentials-sourcing-backend
67,fd4876d81e Merge pull request #32705 from hashicorp/radditude/crt-docs-cleanup
57,b435b4ccde cliconfig: more provider_installation err detail (#32722)
72,3f23a9e70a Merge pull request #32696 from hashicorp/sebasslash/sro-provisioner-logs
64,b8f3f802f5 Add website docs for `metadata functions -json` command (#32701)
55,f29156cdef Replace HTML entities in function descriptions (#32710)
43,afc9235f17 Update internal/cloud/backend_taskStages.go
56,3104811c7d add test to see if override continues to poll on success
50,190858b9e4 Bug Fix where CLI exits if run is not confirmable.
38,25d8f26e41 Remove docs bundle from build workflow
19,6ab3faf5f6 Update CHANGELOG.md
20,c7aff57c92 build: Use Go 1.20.0
70,014a425d0e Merge pull request #32683 from hashicorp/jbardin/import-terraform-data
53,cc6ea4abc2 Merge pull request #32678 from Jukie/go-getter-update
40,6d0a191ec4 Handle provisioner log types in renderer
49,30f8b014f8 keep the friendly error message whenever possible
40,727e22e762 add tests for init syntax error handling
56,119f645b41 ECCEAT-1964 join function example added in documentation
19,71774c2a37 Update CHANGELOG.md
64,f0de9b60c1 backend/local: Periodically persist intermediate state snapshots
74,47fd019dbb Merge pull request #32492 from hashicorp/bflad/lifecycle-computed-behavior
68,55acdc6b31 Merge pull request #32679 from hashicorp/jbardin/terraform-data-docs
44,5adea6d58e change provisioner example in terraform_data
